Horodateur,De quel streamer as-tu suivi la saison en majorité ?,"1 - Héros de la saison

Un joueur reconnu pour son intégrité et son honneur, bien qu'il soit prêt à quelques mensonges pour gagner. Il veut porter la saison vers le haut.","2 - Vilain de la saison

Un joueur prêt à tout pour gagner, même les manigances les plus maléfiques. Mensonges, trahisons et manipulation sont ses mots fétiches.","3 - Best Prémerge

Une personne qui a été éliminé en pre-merge (de 11ème à 18ème) qui vous a particulièrement marquée, que ça soit par son jeu ou juste par simple fait que vous l'appréciez beaucoup !","4 - Mérite de revenir

Le joueur qui devrait ABSOLUMENT avoir une seconde chance car il n'a pas eu le temps de montrer tout ce qu'il avait dans le ventre ou alors que vous l'avez juste adoré et que vous voulez revoir ses prouesses.","5 - Surprise de la saison

Le joueur qui vous a le plus surpris. Au début de la saison, vous vous dites que X n'allait pas faire grand chose/n'allait pas tenir longtemps, et au final, il a accompli bien plus que vous le pensiez !","6 - Best Stratège

Celui qui a fait le plus de stratégies, aussi bien de façon ouverte que dans le dos des gens. Il veut contrôler son destin à 100%, mais aussi celui des autres ...","7 - Best Social

Celui qui a réussi à nouer de nombreuses relations avec les personnes sur le campement. Il veut peut-être avoir beaucoup d'alliances, ou peut tout justement bien s'entendre avec tout le monde par son enthousiasme !","8 - Best Conseil

Quel a été le meilleur conseil de la saison, le plus marquant ? Celui qui a été éliminé à ce conseil emporte cet award ... c'est un bon compromis, non ?","9 - Challenge Beast

Qui est le joueur ayant le plus dominé sur les épreuves lors de la saison ?","10 - Best alliance

Quelle était la meilleure alliance (au moins 3 personnes)
Il y a différentes propositions, mais vous êtes libres d'ajouter une autre alliance, merci de respecter la syntaxe suivante : 
[Pseudo1]/[Pseudo2]/[Pseudo3]/...","11 - Best Rivalité

2 personnes qui ne peuvent pas se saquer ! Il y a différentes propositions, mais vous êtes libres d'ajouter un autre duo, merci de respecter la syntaxe suivante :
[Pseudo1]/[Pseudo2])","12 - Best Duo

Le duo qui a marqué la saison ! Il y a différentes propositions, mais vous êtes libres d'ajouter un autre duo, merci de respecter la syntaxe suivante : 
[Pseudo1]/[Pseudo2]","13 - Best Avantage Play

Quel avantage a été le mieux joué selon vous, et a le plus retourné le jeu en la faveur de la personne ?","14 - Worst Avantage Play

A contrario, quel avantage a été le moins bien joué dans la saison ?","15 - Best move

Quel move (pas forcément avec un avantage) a été réalisé cette saison et que vous avez préféré ?","16 - Fan Favorite

Quel a été le joueur que vous avez globalement adoré, peu importe les critères.
LE joueur parmi les joueurs !","17 - Meme de la saison

Le meme de la saison. Une chose drôle à laquelle on pense DIRECTEMENT quand on parle de la S21 !",Si vous devriez mettre une note à la saison ...,(Si vous voulez mettre un petit commentaire sur la saison)
22/03/2025 16:09:08,Commu Survisland,? - Humility,11 - Laupok,13 - Lapin,13 - Lapin,6 - Flannou,? - Mathox,5 - Lvcyd,10 - DemaZelle,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Laupok/Martin,Humility/Guill,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),Laupok fait un gros blindside sur Ponk (F15),11 - Laupok,Les Hwasan développent une addiction aux croissants,17/20,Géniale
22/03/2025 19:51:41,Commu Survisland,5 - Lvcyd,15 - Martin (Ponk),13 - Lapin,11 - Laupok,11 - Laupok,? - Anaee,? - Mathox,10 - DemaZelle,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Laupok/Martin,Mathox/Kao,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),11 - Laupok,Mathox qui construit son Harem,14/20,Rat
22/03/2025 18:44:54,Guill,7 - Guill,7 - Guill,15 - Martin (Ponk),7 - Guill,7 - Guill,7 - Guill,7 - Guill,7 - Guill,7 - Guill,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),7 - Guill,Mathox qui construit son Harem,8/20,
22/03/2025 18:45:09,Flannou,6 - Flannou,11 - Laupok,15 - Martin (Ponk),12 - Kao,? - Anaee,6 - Flannou,? - Humility,7 - Guill,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Flannou/Guill,Lvcyd/Flannou,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),Laupok fait un gros blindside sur Ponk (F15),6 - Flannou,Mathox qui construit son Harem,17/20,
22/03/2025 18:45:17,Guill,11 - Laupok,15 - Martin (Ponk),12 - Kao,11 - Laupok,11 - Laupok,8 - Jimmy,5 - Lvcyd,8 - Jimmy,? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Guill/Laupok,,Flannou joue son idol (F10),Laupok fait un gros blindside sur Ponk (F15),? - Julgane,Julgane qui a passé sa vie à random.org au lieu de créer du content,17/20,
22/03/2025 18:45:29,Guill,? - Mathox,? - Mathox,12 - Kao,12 - Kao,5 - Lvcyd,? - Mathox,? - Mathox,7 - Guill,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Mathox/Guill,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",5 - Lvcyd,Lvcyd qui vole tout sur les épreuves,17/20,
22/03/2025 18:45:39,Guill,7 - Guill,7 - Guill,13 - Lapin,7 - Guill,7 - Guill,7 - Guill,7 - Guill,7 - Guill,7 - Guill,Guill/Lvcyd/Mathox/Humility,Flannou/Guill,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),,,,,,
22/03/2025 18:45:50,Guill,? - Mathox,7 - Guill,12 - Kao,11 - Laupok,6 - Flannou,7 - Guill,? - Mathox,10 - DemaZelle,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Guill,DemaZelle/Laupok,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",11 - Laupok,Kao et ses vannes sur tout (notamment les champignons),16/20,
22/03/2025 18:45:56,Guill,7 - Guill,? - Mathox,16 - Sundae,18 - Cizayoxy,? - Mathox,? - Mathox,5 - Lvcyd,5 - Lvcyd,? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Flannou joue son idol (F10),Laupok fait un gros blindside sur Ponk (F15),7 - Guill,Mathox qui construit son Harem,20/20,Incroyable 
22/03/2025 18:45:59,Guill,? - Mathox,7 - Guill,14 - Chloe,? - Mathox,? - Mathox,? - Mathox,? - Mathox,7 - Guill,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Mathox/Guill,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),,L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),? - Mathox,Mathox qui construit son Harem,20/20,bravo.
22/03/2025 18:45:59,Guill,? - Mathox,11 - Laupok,12 - Kao,15 - Martin (Ponk),6 - Flannou,? - Mathox,? - Humility,7 - Guill,? - Mathox,Guill/Jimmy/Julgane/Laupok,Laupok/Martin,Guill/Laupok,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",11 - Laupok,Les verts ont tout perdu,16/20,
22/03/2025 18:47:39,Guill,7 - Guill,6 - Flannou,16 - Sundae,15 - Martin (Ponk),? - Humility,6 - Flannou,7 - Guill,10 - DemaZelle,? - Mathox,Anaee/Julgane/Guill/Jimmy,Flannou/Guill,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",7 - Guill,Kao et ses vannes sur tout (notamment les champignons),19/20,
22/03/2025 18:46:05,Guill,? - Julgane,? - Mathox,16 - Sundae,11 - Laupok,? - Mathox,? - Mathox,? - Mathox,7 - Guill,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Flannou/Jimmy,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),? - Mathox,Julgane qui a passé sa vie à random.org au lieu de créer du content,18/20,"Merci, on espère voir une autre saison avec des streamers"
22/03/2025 18:46:08,Guill,7 - Guill,7 - Guill,15 - Martin (Ponk),7 - Guill,6 - Flannou,7 - Guill,6 - Flannou,7 - Guill,7 - Guill,Guill/Lvcyd/Mathox/Humility,Flannou/Guill,Humility/Guill,Mathox joue son idol sur Lvcyd (F7),Flannou joue son idol (F10),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),7 - Guill,Mathox qui construit son Harem,18/20,
22/03/2025 18:46:14,Guill,7 - Guill,? - Mathox,15 - Martin (Ponk),16 - Sundae,? - Mathox,? - Mathox,? - Anaee,7 - Guill,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Laupok/Martin,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",? - Mathox,Mathox qui construit son Harem,19/20,
22/03/2025 18:46:18,Guill,7 - Guill,? - Mathox,12 - Kao,18 - Cizayoxy,11 - Laupok,? - Mathox,5 - Lvcyd,7 - Guill,? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Guill/Jimmy,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",11 - Laupok,Lvcyd qui vole tout sur les épreuves,20/20,
22/03/2025 18:46:20,Guill,? - Julgane,? - Mathox,16 - Sundae,16 - Sundae,6 - Flannou,? - Mathox,? - Julgane,7 - Guill,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Flannou/Guill,Lvcyd/Flannou,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",? - Julgane,Julgane qui a passé sa vie à random.org au lieu de créer du content,18/20,
22/03/2025 18:46:28,Commu Survisland,? - Mathox,11 - Laupok,15 - Martin (Ponk),12 - Kao,? - Anaee,? - Mathox,? - Mathox,15 - Martin (Ponk),? - Mathox,,Laupok/Martin,,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),Laupok fait un gros blindside sur Ponk (F15),? - Mathox,Kao et ses vannes sur tout (notamment les champignons),14/20,A refaire
22/03/2025 18:46:32,Guill,? - Mathox,11 - Laupok,17 - Gomart,15 - Martin (Ponk),? - Humility,7 - Guill,? - Julgane,10 - DemaZelle,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Laupok/Martin,Humility/Guill,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",? - Julgane,Mathox qui construit son Harem,14/20,
22/03/2025 18:46:34,Guill,12 - Kao,? - Mathox,16 - Sundae,15 - Martin (Ponk),? - Humility,? - Mathox,? - Humility,7 - Guill,? - Mathox,Guill/Lvcyd/Mathox/Humility,Laupok/Martin,Humility/Guill,Lvcyd joue son extra-vote sur Jimmy (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",7 - Guill,Les verts ont tout perdu,15/20,
22/03/2025 18:46:35,Guill,11 - Laupok,? - Mathox,15 - Martin (Ponk),11 - Laupok,11 - Laupok,? - Mathox,? - Julgane,8 - Jimmy,? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",11 - Laupok,Lvcyd qui vole tout sur les épreuves,17/20,
22/03/2025 18:46:40,Guill,7 - Guill,? - Mathox,16 - Sundae,16 - Sundae,6 - Flannou,? - Mathox,7 - Guill,9 - Clem (ThatDanmGirl),? - Mathox,Guill/Lvcyd/Mathox/Humility,Mathox/Guill,Mathox/Lvcyd,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",? - Mathox,Lvcyd qui vole tout sur les épreuves,18/20,Banger trop hate de découvrir les autres saisons et d'en voir des nouvelles avec d'autres streamers (minecraft ou non)
22/03/2025 18:46:45,Guill,? - Julgane,11 - Laupok,13 - Lapin,13 - Lapin,? - Humility,? - Mathox,? - Julgane,13 - Lapin,? - Mathox,Guill/Lvcyd/Mathox/Humility,Flannou/Guill,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),Laupok fait un gros blindside sur Ponk (F15),? - Mathox,Julgane qui a passé sa vie à random.org au lieu de créer du content,20/20,
22/03/2025 18:46:47,Guill,7 - Guill,? - Mathox,18 - Cizayoxy,18 - Cizayoxy,? - Humility,? - Mathox,? - Humility,16 - Sundae,? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Guill/Laupok,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",11 - Laupok,Mathox qui construit son Harem,17/20,
22/03/2025 18:46:52,Guill,? - Mathox,6 - Flannou,16 - Sundae,16 - Sundae,10 - DemaZelle,7 - Guill,11 - Laupok,10 - DemaZelle,? - Mathox,Anaee/Julgane/Guill/Jimmy,Flannou/Guill,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),Laupok fait un gros blindside sur Ponk (F15),? - Julgane,Les verts ont tout perdu,17/20,
22/03/2025 18:46:57,Guill,7 - Guill,? - Mathox,15 - Martin (Ponk),11 - Laupok,? - Julgane,7 - Guill,6 - Flannou,7 - Guill,? - Mathox,Guill/Jimmy/Julgane/Laupok,Laupok/Martin,Guill/Laupok,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",7 - Guill,Kao et ses vannes sur tout (notamment les champignons),20/20,
22/03/2025 18:46:58,Guill,7 - Guill,16 - Sundae,17 - Gomart,7 - Guill,11 - Laupok,8 - Jimmy,? - Humility,7 - Guill,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Guill,Guill/Jimmy,Lvcyd joue son extra-vote sur Jimmy (F10),DemaZelle ne joue pas son idol (F10),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",7 - Guill,Les verts ont tout perdu,14/20,
22/03/2025 18:46:58,Guill,7 - Guill,? - Mathox,12 - Kao,11 - Laupok,11 - Laupok,11 - Laupok,? - Humility,10 - DemaZelle,? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Guill/Laupok,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),Laupok fait un gros blindside sur Ponk (F15),11 - Laupok,Kao et ses vannes sur tout (notamment les champignons),17/20,"On veut revoir Laupok dans des jeux de stratégies
Sinon pépite!!!
"
22/03/2025 18:47:00,Guill,11 - Laupok,11 - Laupok,13 - Lapin,13 - Lapin,11 - Laupok,11 - Laupok,? - Mathox,8 - Jimmy,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Jimmy,Guill/Laupok,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),11 - Laupok,Les verts ont tout perdu,18/20,"Excellente saison, rien a redire SAUF le fait qu'il y ait beaucoup trop de collier, je sais que les colliers des éliminer sont remis en jeux mais durant la réunif il y avait beaucoup trop de collier selon moi"
22/03/2025 18:47:07,Guill,? - Humility,15 - Martin (Ponk),17 - Gomart,8 - Jimmy,? - Julgane,? - Julgane,10 - DemaZelle,9 - Clem (ThatDanmGirl),? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),,7 - Guill,Julgane qui a passé sa vie à random.org au lieu de créer du content,17/20,Bien mais trop d'immunité ( ne devrait pas être remise en jeu)
22/03/2025 18:47:09,Guill,? - Mathox,11 - Laupok,15 - Martin (Ponk),7 - Guill,11 - Laupok,7 - Guill,5 - Lvcyd,7 - Guill,7 - Guill,Guill/Lvcyd/Mathox/Humility,Flannou/Guill,Guill/Laupok,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",11 - Laupok,Julgane qui a passé sa vie à random.org au lieu de créer du content,16/20,
22/03/2025 18:47:09,Guill,? - Humility,? - Mathox,13 - Lapin,11 - Laupok,? - Mathox,7 - Guill,? - Julgane,8 - Jimmy,? - Mathox,Anaee/Julgane/Guill/Jimmy,Flannou/Jimmy,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",7 - Guill,Les verts ont tout perdu,,
22/03/2025 18:47:09,Mathox,5 - Lvcyd,? - Mathox,15 - Martin (Ponk),7 - Guill,? - Humility,? - Mathox,5 - Lvcyd,7 - Guill,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Laupok/Martin,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),Laupok fait un gros blindside sur Ponk (F15),? - Mathox,Mathox qui construit son Harem,15/20,
22/03/2025 18:47:10,Guill,? - Mathox,? - Mathox,15 - Martin (Ponk),7 - Guill,6 - Flannou,? - Mathox,? - Julgane,7 - Guill,? - Mathox,Anaee/Julgane/Guill/Jimmy,Mathox/Guill,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),7 - Guill,Mathox qui construit son Harem,18/20,
22/03/2025 18:47:10,Laupok,11 - Laupok,? - Mathox,17 - Gomart,11 - Laupok,? - Anaee,7 - Guill,? - Julgane,15 - Martin (Ponk),? - Mathox,Guill/Jimmy/Julgane/Laupok,Laupok/Martin,Laupok/Gomart,Jimmy joue son idol sur lui-même (F10),Flannou joue son idol (F10),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",11 - Laupok,Les verts ont tout perdu,20/20,
22/03/2025 18:47:11,Guill,? - Humility,? - Mathox,12 - Kao,15 - Martin (Ponk),6 - Flannou,7 - Guill,? - Mathox,8 - Jimmy,? - Mathox,Guill/Lvcyd/Mathox/Humility,Flannou/Guill,Humility/Guill,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),6 - Flannou,Lvcyd qui vole tout sur les épreuves,16/20,
22/03/2025 18:47:11,Guill,? - Mathox,? - Mathox,15 - Martin (Ponk),7 - Guill,? - Humility,7 - Guill,? - Mathox,10 - DemaZelle,? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",7 - Guill,Mathox qui construit son Harem,20/20,c'etait la premiere fois que je regardais et j'ai grandement apprécier vivre la saison sur les lives des streamers surtout le conseil F10 avec tout les avantages joués
22/03/2025 18:47:13,Guill,11 - Laupok,? - Mathox,12 - Kao,5 - Lvcyd,16 - Sundae,? - Mathox,5 - Lvcyd,8 - Jimmy,? - Mathox,Mathox/Kao/Clem/Lucyd,Flannou/Guill,Guill/Laupok,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),5 - Lvcyd,Julgane qui a passé sa vie à random.org au lieu de créer du content,14/20,
22/03/2025 18:47:15,Guill,7 - Guill,6 - Flannou,15 - Martin (Ponk),15 - Martin (Ponk),11 - Laupok,7 - Guill,? - Mathox,10 - DemaZelle,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Jimmy,Guill/Laupok,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",11 - Laupok,Mathox qui construit son Harem,20/20,
22/03/2025 18:47:16,Guill,11 - Laupok,6 - Flannou,15 - Martin (Ponk),16 - Sundae,5 - Lvcyd,? - Mathox,? - Humility,7 - Guill,? - Julgane,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Flannou/Guill,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),? - Humility,Kao et ses vannes sur tout (notamment les champignons),18/20,
22/03/2025 18:47:17,Guill,? - Humility,11 - Laupok,15 - Martin (Ponk),15 - Martin (Ponk),? - Anaee,? - Mathox,? - Humility,10 - DemaZelle,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Jimmy,Lvcyd/Flannou,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",11 - Laupok,Julgane qui a passé sa vie à random.org au lieu de créer du content,17/20,
22/03/2025 18:47:19,Guill,? - Mathox,11 - Laupok,12 - Kao,10 - DemaZelle,? - Anaee,? - Mathox,5 - Lvcyd,10 - DemaZelle,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Flannou/Jimmy,Clem/DemaZelle,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),Laupok fait un gros blindside sur Ponk (F15),10 - DemaZelle,Kao et ses vannes sur tout (notamment les champignons),20/20,
22/03/2025 18:47:21,Guill,? - Humility,11 - Laupok,15 - Martin (Ponk),13 - Lapin,? - Anaee,? - Mathox,? - Julgane,10 - DemaZelle,? - Mathox,Anaee/Julgane/Guill/Jimmy,Flannou/Jimmy,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",? - Julgane,Kao et ses vannes sur tout (notamment les champignons),16/20,
22/03/2025 18:47:25,Guill,? - Mathox,11 - Laupok,15 - Martin (Ponk),16 - Sundae,5 - Lvcyd,? - Mathox,? - Humility,7 - Guill,? - Mathox,Guill/Lvcyd/Mathox/Humility,Mathox/Guill,Humility/Guill,Lvcyd joue son extra-vote sur Jimmy (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",? - Mathox,Mathox qui construit son Harem,20/20,
22/03/2025 18:47:28,Guill,7 - Guill,11 - Laupok,17 - Gomart,8 - Jimmy,? - Mathox,? - Mathox,? - Julgane,15 - Martin (Ponk),? - Mathox,Laupok/Flannou/Jimmy,Flannou/Guill,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),7 - Guill,Les Hwasan développent une addiction aux croissants,16/20,
22/03/2025 18:47:28,Guill,7 - Guill,16 - Sundae,18 - Cizayoxy,5 - Lvcyd,7 - Guill,7 - Guill,? - Mathox,5 - Lvcyd,7 - Guill,Guill/Lvcyd/Mathox/Humility,Laupok/Martin,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),7 - Guill,Lvcyd qui vole tout sur les épreuves,20/20,
22/03/2025 18:47:29,Guill,7 - Guill,? - Mathox,16 - Sundae,15 - Martin (Ponk),? - Humility,7 - Guill,6 - Flannou,10 - DemaZelle,? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Mathox/Lvcyd,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",? - Julgane,Lvcyd qui vole tout sur les épreuves,16/20,
22/03/2025 18:47:29,Guill,? - Humility,? - Mathox,13 - Lapin,11 - Laupok,? - Anaee,? - Mathox,? - Humility,6 - Flannou,? - Mathox,Anaee/Julgane/Guill/Jimmy,Flannou/Jimmy,Lvcyd/Flannou,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),Laupok fait un gros blindside sur Ponk (F15),? - Anaee,Lvcyd qui vole tout sur les épreuves,15/20,
22/03/2025 18:47:30,Guill,? - Mathox,? - Mathox,13 - Lapin,15 - Martin (Ponk),? - Humility,6 - Flannou,? - Mathox,11 - Laupok,? - Mathox,Anaee/Julgane/Guill/Jimmy,Laupok/Martin,Mathox/Lvcyd,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",6 - Flannou,Kao et ses vannes sur tout (notamment les champignons),16/20,"super découverte, kohlanta sur minecraft j'aime les 2 !"
22/03/2025 18:47:30,Guill,7 - Guill,11 - Laupok,12 - Kao,16 - Sundae,11 - Laupok,7 - Guill,6 - Flannou,6 - Flannou,? - Mathox,Anaee/Julgane/Guill/Jimmy,Mathox/Guill,Guill/Laupok,Mathox joue son idol sur Lvcyd (F7),Flannou joue son idol (F10),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",7 - Guill,Lvcyd qui vole tout sur les épreuves,14/20,
22/03/2025 18:47:30,Guill,7 - Guill,? - Mathox,16 - Sundae,15 - Martin (Ponk),? - Humility,7 - Guill,? - Julgane,10 - DemaZelle,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Jimmy,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",11 - Laupok,Julgane qui a passé sa vie à random.org au lieu de créer du content,16/20,J'ai adoré regarder la saison le seul problème je trouve que y avait trop de collier d'imunnité
22/03/2025 18:47:33,Mathox,? - Mathox,7 - Guill,16 - Sundae,? - Mathox,5 - Lvcyd,? - Mathox,? - Mathox,7 - Guill,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Flannou/Jimmy,Mathox/Kao,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),? - Mathox,Les verts ont tout perdu,15/20,
22/03/2025 18:47:33,Guill,11 - Laupok,? - Mathox,16 - Sundae,11 - Laupok,? - Humility,? - Mathox,11 - Laupok,11 - Laupok,? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Guill/Laupok,Lvcyd joue son extra-vote sur Jimmy (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",11 - Laupok,laupok qui se barre du conseil,20/20,
